State,Biomass,Geothermal,Hydropower,Solar Energy,Wind Energy
Alaska,3846,186,5846,57,475
Alabama,193932,141,34762,3200,0
Arkansas,74816,808,11835,3365,0
Arizona,36364,345,18075,41092,5338
California,497652,40288,60202,232908,49945
Colorado,38711,759,4588,13159,57701
Connecticut,41972,21,1065,5982,44
District of Columbia,1923,22,0,678,0
Delaware,6160,430,0,797,15
Florida,219011,10056,788,74750,0
Georgia,256735,315,10840,25348,0
Hawaii,8806,719,376,8437,2134
Iowa,258515,1281,3446,2404,156138
Idaho,37284,1814,28523,2453,8331
Illinois,155145,2042,393,10800,80161
Indiana,126202,4647,1265,4803,34070
Kansas,48860,974,81,579,101294
Kentucky,58773,2712,15456,575,0
Louisiana,131549,1842,3126,1692,0
Massachusetts,57545,859,2993,18568,736
Maryland,35988,570,6072,6928,1698
Maine,71303,72,10452,2771,9268
Michigan,161389,5193,4729,4276,31224
Minnesota,166428,1075,3243,7531,51491
Missouri,62209,352,4721,2355,25674
Mississippi,63847,958,0,1809,0
Montana,12554,337,33731,299,13723
North Carolina,138609,967,15990,40733,1866
North Dakota,33480,978,6112,10,55445
Nebraska,120119,1212,3608,404,43039
New Hampshire,33184,29,4099,906,1646
New Jersey,54827,466,18,17803,74
New Mexico,18132,528,412,8962,49251
Nevada,14392,14913,5752,36601,1077
New York,140237,1185,93596,19281,15584
Ohio,134824,3435,1730,4531,10761
Oklahoma,54864,24,6038,598,128130
Oregon,93054,1842,106810,8257,27805
Pennsylvania,154330,2162,9051,4319,12188
Rhode Island,9395,57,25,3073,714
South Carolina,127166,648,7440,10073,0
South Dakota,78433,1868,14530,20,35127
Tennessee,82232,213,31384,2593,51
Texas,268045,2478,2116,87388,391653
Utah,14627,2389,2031,15854,2468
Virginia,162230,1701,3880,17653,174
Vermont,15188,29,3892,1504,1396
Washington,118813,1136,269263,1754,27504
Wisconsin,133538,615,6793,3749,6195
West Virginia,15724,32,5620,166,6848
Wyoming,4790,663,2541,715,33370
US,4873241,118389,869339,764563,1481823
