State,Coal,Natural Gas,Petroleum ,Nuclear,Total Renewable Energy
Alaska,18694,395590,261094,0,9597
Alabama,309791,739891,583042,480115,239817
Arkansas,216123,360545,328271,141372,89714
Arizona,160299,484962,606862,329868,99266
California,28244,2172757,2959389,171842,810020
Colorado,252442,509970,497788,0,103955
Connecticut,2880,305184,284788,179551,49306
District of Columbia,0,28336,18439,0,2487
Delaware,4542,82708,113641,0,7150
Florida,200193,1591864,1748346,307811,297291
Georgia,203870,773889,922503,354085,289113
Hawaii,12566,133,223014,0,20134
Iowa,264419,383424,408385,0,389787
Idaho,3051,135176,188263,0,74428
Illinois,522809,1088485,1136797,1011555,224106
Indiana,753557,869328,712427,0,157324
Kansas,219031,291797,339006,89426,135551
Kentucky,548443,365875,584011,0,71744
Louisiana,95856,1862349,1840835,179886,135905
Massachusetts,0,404301,503312,0,75370
Maryland,69186,299282,433791,156369,52732
Maine,1588,57233,163991,0,95141
Michigan,436203,950364,814081,358114,194075
Minnesota,179055,523812,561731,147286,216113
Missouri,616413,293633,607276,44766,88879
Mississippi,64446,576903,384328,122771,66134
Montana,122765,87105,176686,0,56334
North Carolina,222501,637553,884299,449675,196973
North Dakota,361811,191168,168682,0,92653
Nebraska,216298,191008,237214,71758,158275
New Hampshire,3259,60116,142030,102789,38479
New Jersey,12586,697019,749892,293494,70039
New Mexico,133228,285809,262885,0,62210
Nevada,35910,305212,286548,0,63647
New York,5370,1359437,1237451,325141,263977
Ohio,575920,1294814,1028000,182330,146858
Oklahoma,131695,745911,517408,0,177087
Oregon,1303,305665,317322,0,225544
Pennsylvania,485193,1868137,1047658,791587,179589
Rhode Island,0,105473,76464,0,11798
South Carolina,162628,349990,508147,560782,143796
South Dakota,21589,96787,119505,0,127382
Tennessee,225784,413554,713210,368461,135841
Texas,968401,4773076,6783182,419363,654199
Utah,276159,274420,304823,0,36050
Virginia,68603,699927,795296,297972,174615
Vermont,0,13801,72241,0,21430
Washington,36943,384769,711662,88764,394052
Wisconsin,286760,561076,533390,103979,145936
West Virginia,633582,277002,205005,0,26427
Wyoming,376971,161580,146274,0,37734
US,10548957,31688203,35250685,8130913,7646167
