State,Biomass,Geothermal,Hydropower,Solar Energy,Wind Energy
Alaska,3404,186,6051,67,380
Alabama,189040,141,28762,4246,0
Arkansas,71311,808,11017,4141,0
Arizona,36572,345,20258,45356,5914
California,612607,40578,110485,253676,47833
Colorado,35513,759,5447,18440,54903
Connecticut,40711,21,1588,6629,34
District of Columbia,1984,22,0,790,0
Delaware,6383,430,0,1213,14
Florida,187267,10056,765,88219,0
Georgia,253485,315,9799,27863,0
Hawaii,8914,665,318,8985,2164
Iowa,265747,1281,3235,3146,141392
Idaho,35074,1804,28585,3749,7915
Illinois,155910,2042,314,13028,74409
Indiana,128816,4647,1582,7669,30177
Kansas,45449,974,46,745,93054
Kentucky,55351,2712,13493,1047,0
Louisiana,132613,1842,2414,2113,0
Massachusetts,56272,859,3976,19833,620
Maryland,37140,570,6309,8049,1643
Maine,64238,72,13074,4080,7980
Michigan,154360,5193,4760,5851,28294
Minnesota,162640,1075,2560,8462,49127
Missouri,61275,352,2679,2989,23117
Mississippi,64093,958,0,2253,0
Montana,11496,337,29999,1089,15548
North Carolina,127660,967,14417,41955,1805
North Dakota,34539,978,7230,12,49395
Nebraska,118507,1212,3900,468,40416
New Hampshire,31020,29,5431,1105,1404
New Jersey,55964,466,40,17876,63
New Mexico,17018,490,368,11514,50888
Nevada,13774,15709,4500,39902,994
New York,135868,1185,97017,22521,16377
Ohio,131879,3435,1730,6420,9620
Oklahoma,53151,24,5062,856,126286
Oregon,104208,1833,89835,9637,30550
Pennsylvania,149768,2162,9497,5491,11117
Rhode Island,9375,57,26,3545,576
South Carolina,122864,648,7504,11470,0
South Dakota,77849,1868,14657,177,31989
Tennessee,84416,213,27438,3557,55
Texas,266309,2478,2586,110891,408946
Utah,15792,2371,2624,16556,2332
Virginia,155917,1701,4745,21455,160
Vermont,14207,29,5252,1562,1159
Washington,126267,1136,209653,3140,25759
Wisconsin,132268,615,6571,5581,5930
West Virginia,15773,32,5221,214,7129
Wyoming,4521,663,3130,692,29468
US,4914764,119346,835948,880325,1436934
