State,Coal Consumption,Natural Gas,Petroleum ,Nuclear Energy,Total Renewables
Alaska,18615,437916,263335,0,10410
Alabama,297654,787300,578431,442093,232035
Arkansas,211724,398099,327813,149654,90825
Arizona,154007,468038,594859,333738,101215
California,30049,2131372,3017944,183814,880995
Colorado,233256,524890,538413,0,114917
Connecticut,0,307212,302881,172018,49084
District of Columbia,0,30174,18000,0,2622
Delaware,1846,89674,112026,0,7402
Florida,171953,1659544,1815529,321468,304605
Georgia,180888,809618,940579,356001,293237
Hawaii,7680,159,241994,0,20471
Iowa,227866,434374,423592,0,421784
Idaho,1881,141924,190635,0,78406
Illinois,496983,1134781,1138141,1032989,248541
Indiana,719238,913401,699235,0,170986
Kansas,226712,318779,346852,93844,151788
Kentucky,523276,402534,580349,0,77517
Louisiana,96914,2087166,1663129,168889,138209
Massachusetts,0,432442,529154,0,80700
Maryland,61932,310133,411842,154742,51255
Maine,1269,62559,166724,0,93867
Michigan,423504,1087716,820709,271788,206811
Minnesota,184517,535010,568916,153546,229769
Missouri,566940,322547,606374,92724,95312
Mississippi,66214,617855,383366,89856,66614
Montana,131345,93971,177009,0,60644
North Carolina,163029,747187,906477,445547,198165
North Dakota,369340,198986,170390,0,96024
Nebraska,223571,199260,237556,58702,168382
New Hampshire,3864,60176,149025,114108,39863
New Jersey,6199,755048,769751,295875,73187
New Mexico,138077,301279,255571,0,77286
Nevada,35835,302315,303234,0,72734
New York,6143,1403401,1321362,280133,269884
Ohio,539587,1422175,1031807,175806,155282
Oklahoma,106855,772405,521629,0,189654
Oregon,1066,297591,315400,0,237768
Pennsylvania,435540,1936985,1108074,795783,182051
Rhode Island,0,93829,78260,0,13264
South Carolina,150973,361249,495616,568055,145328
South Dakota,24769,98288,118593,0,129978
Tennessee,204725,440017,707095,372319,116472
Texas,932569,5007366,6582173,434709,751680
Utah,237870,287076,322387,0,37369
Virginia,67739,665869,798162,294606,185638
Vermont,0,14046,71534,0,22009
Washington,42238,381886,725931,102929,418470
Wisconsin,232501,622144,535483,105285,150890
West Virginia,536642,281657,201769,0,28391
Wyoming,390303,172450,145723,0,42079
US,9885694,33361871,35330835,8061020,8107353
