State,Coal Usage,Natural Gas,Petroleum ,Nuclear Energy ,Total Renewable Energy
Alaska,18414,448087,270391,0,10087
Alabama,224926,775747,565754,476392,222189
Arkansas,180262,399566,327465,156492,87277
Arizona,137885,537151,599712,329474,108445
California,28746,2154533,2996168,185192,1065179
Colorado,204826,525446,514174,0,115061
Connecticut,0,304924,292864,142873,48981
District of Columbia,0,26236,17292,0,2795
Delaware,338,84387,110721,0,8041
Florida,129387,1673836,1835394,312935,286306
Georgia,177521,787361,980546,390663,291462
Hawaii,0,152,251676,0,21046
Iowa,201276,446677,404172,0,414801
Idaho,1144,154150,189553,0,77128
Illinois,342683,1101064,1134461,1019691,245703
Indiana,613533,921814,695709,0,172891
Kansas,184614,309427,345807,107675,140268
Kentucky,481815,369986,584722,0,72603
Louisiana,58224,2055504,1620038,127634,138982
Massachusetts,0,386946,525647,0,81559
Maryland,30349,304669,429784,156610,53711
Maine,1295,61045,177091,0,89444
Michigan,287490,1104234,810789,292615,198459
Minnesota,148968,536789,567072,124626,223864
Missouri,442901,316512,612625,95947,90412
Mississippi,49606,630107,378072,122807,67305
Montana,130059,96777,173283,0,58470
North Carolina,153784,662302,900241,442493,186804
North Dakota,325716,220768,169307,0,92154
Nebraska,195602,206276,233599,72391,164502
New Hampshire,1838,59589,147387,99658,38988
New Jersey,0,721282,787262,296162,74408
New Mexico,75182,337083,251686,0,80278
Nevada,29284,301655,296155,0,74878
New York,4823,1346622,1341811,287690,272967
Ohio,413577,1448857,1009729,169392,153083
Oklahoma,63787,860217,515440,0,185378
Oregon,652,327164,313013,0,236062
Pennsylvania,307604,1937041,1132958,787083,178035
Rhode Island,0,112499,76844,0,13579
South Carolina,162323,346881,507146,581365,142486
South Dakota,22246,99752,114623,0,126540
Tennessee,202367,396870,702827,396522,115678
Texas,805600,5284670,6752349,425186,791211
Utah,174315,298976,324640,0,39674
Virginia,46785,655997,807547,310037,183979
Vermont,0,13001,70235,0,22209
Washington,49523,403038,718277,88163,365956
Wisconsin,219995,565025,525386,101204,150965
West Virginia,472309,309019,206969,0,28370
Wyoming,366098,181395,143944,0,38474
US,8169673,33609104,35460356,8098974,8187317
